"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64","y1","y2"
1436668191.2,14694651,10731.5,7179575.5,173704903,19893,245876364,1674,1419019,12000347,173609296.5,121660136,3995310.5,41402134,21639.5,3534,97456,326224607.5,482263254,123060632.5,63482470,2803243.5,5141767,10762.5,3985424.5,3985191.5,18138,1749,35332849,6033780.5,19462.5,2386.5,3555.5,595,84400,14204,97972.5,97972.5,123044453,63510548.5,5274,347,5547,3797838.5,2352528.5,1445198,138335265,62252679,205516336.5,37196467,9068640.5,55444520.5,11829157,11720015,68622,108053.5,2,2348947.5,2,1337,41,163,125,377,6333702.5,2.975461,3.264699
1439559781.2,20271401,8292,291024,243775031,21348,327889453,1742,44521,1568609,233595534,89831882,111241,38459247,21779,3424,98263,316765135,481901080,156379350,78119630,68988,111069,10961,100008,99762,19073,2053,38368472,178436,19266,2408,3423,994,84041,13676,98872,98872,162280437,81372099,5053,370,5677,77069,76436,606,156832132,78135896,234773356,3872863,423510,77465997,1576406,1452032,75384,122232,2,75658,2,1415,43,160,124,389,76781,1.884129,2.0237
1361967472.8,19644724,9505,375252,237049350,21052,317729567,1736,45366,1554381,226341954,87124928,164855,37426115,21129,3306,94848,307152351,481949804,150760850,75261738,83855,165046,11827,171779,171503,19128,1965,38797406,377208,18854,2382,3438,1021,81951,13737,94213,94213,158193618,79499860,5064,360,5318,74635,73636,977,151122729,75226019,226610584,3950497,526541,74609948,1557084,1434425,74769,121212,2,73568,2,1408,43,161,125,389,74208,1.867062,2.024071
1387667226.6,19156735,8490,399431,228755675,21208,310024037,1735,47747,1812767,228693975,88333618,296660,39696679,21238,3398,95751,328650488,481716544,152456767,75967610,135087,268398,10803,262950,262675,19130,1923,37868483,404532,18763,2389,3394,935,81832,13698,95607,95607,152594504,76038172,5061,331,11706,160627,156942,3691,152819601,75915956,228959005,4557621,609550,75358976,1817753,1695131,74592,120998,2,158969,2,1406,40,160,124,389,160842,1.856961,1.998365
1389520948.8,9519885,148029,9005724,111290335,20231,171312960,1710,877599,16829195,112457628,108495026,3315804,34312107,22892,3562,102870,231287374,482248104,79088786,34224945,2943881,6144409,9954,3299323,3299100,18525,1962,27963908,6304638,20575,2439,3616,982,89195,14426,103335,103335,75377859,31483179,5080,335,5231,6084096,3213370,2871121,99171890,38463200,139427121,50640101,14839962,26493057,17035660,16928300,65547,103453,2,3293532,2,1352,41,163,125,381,8220084,5.85613,6.112721
1417121178.7,19440006,8166,466370,231944921,21338,314604672,1736,51112,1882277,232063577,89728596,368882,40603974,20926,3364,94078,338202303,481995164,154855631,77056701,120926,348391,9217,373680,373342,19190,1779,38478906,516906,18419,2369,3317,994,80276,13240,94920,94920,154878814,77069768,4792,331,5266,182477,177549,4929,155052938,76905033,231944950,4863515,789971,76129044,1879723,1756489,74718,121236,2,180200,2,1408,41,162,124,386,202284,1.849055,0.343266
1568748485.3,16507865,9099,6030008,224278511,21454,270879400,1736,733637,7518762,209235882,108375381,3149052,43705803,21610,3396,97361,331164499,481828588,138978237,69735431,1243323,3485841,10234,3116021,3115677,18992,2040,39181249,4372125,19182,2404,3404,1003,83569,13576,96775,96775,138851236,69739860,5279,353,5538,2103303,1495387,607151,153611519,72071693,222586188,22346458,5565785,66870391,7550485,7430419,73394,118264,2,1690009,2,1408,41,161,125,387,2932759,1.579886,0.896534
1569080932.3,15879996,9952,6324422,186522300,21289,263410333,1752,1108599,9361808,196875011,142332702,3838791,40480037,21384,3325,95874,361499406,475476184,131772631,69070623,2627893,4674097,10862,3842272,3841915,19269,2144,33997402,6389238,18860,2409,3398,859,82499,13530,95565,95565,119806784,60380140,5079,345,5441,2945269,1908167,1037092,140024268,63986071,204165576,30792394,7463345,57639456,9845053,9725014,75733,119602,2,1992866,2,1435,40,161,132,392,4797777,1.283905,0.8538
1405258109,7925288.5,128854,9288247.5,98215960.5,20330,146043838,1710,191861,17663112.5,78383019.5,57469043.5,3177354.5,31178828,26962.5,3909.5,120566,249390570,482179917,71777560.5,26784264,3127349.5,6183679,10487,3094225,3094007,18141,1880,25137075.5,6214628.5,24232.5,2468,3908.5,792.5,103915,15616.5,117912,117912,58304632.5,20959025,4916,340.5,5222.5,6466897,3385506.5,3080307,62974344,21752642.5,85568292,41592224.5,12032175.5,13147183,17591934.5,17487410.5,65123.5,102435.5,2,3393165.5,2,1365.5,41,162,124.5,381.5,6931709.5,8.255474,0.500708
1419060198.3,19599618,8759,740257,237553148,21248,317248435,1735,54270,2018594,227995553,88422977,373267,39782432,20916,3280,94206,328677340,481923312,152262765,75736405,169573,354958,10049,339252,338985,18890,1909,37981319,514516,18625,2392,3398,1205,81057,13538,94230,94230,158252937,79925574,5011,326,5576,228809,220629,8109,152880615,75763525,228336547,5120796,773581,74987443,2021483,1899038,74595,120971,2,225430,2,1407,41,159,125,388,229380,1.869627,1.962896
1564327178.4,14493719.5,10197.5,7069897.5,171131336,21177.5,242956386.5,1736,1388096,11981915.5,173583077,126728289.5,3933590,41082712.5,21448.5,3395.5,96577.5,326509352.5,481799061.5,120519348.5,61928949.5,2734161.5,5057118,10800.5,4136167.5,4135908.5,19060.5,2081.5,33215543,6935830.5,19012,2403.5,3417.5,1070.5,83248,13642.5,96194,96194,120672073,61977541.5,5204,347.5,5450.5,3798631.5,2338254,1460276,142192366,63945762.5,204200735,37650340,9312210,54612488.5,11961817,11846057.5,71036.5,113763,2,2554861.5,2,1408,41,160,130,388.5,6167739.5,1.236989,0.744914
1438672698.8,19551787,8384,1907756,243032916,21639,316861184,1757,100423,2973648,228835327,90930538,929198,40220194,22326,3442,100330,316835662,481814498,152821476,75421277,300197,949605,11937,912532,912232,19358,1896,39040111,1223039,19841,2409,3414,1166,86200,13593,100570,100570,153198914,75623063,4945,335,5275,541733,491088,50646,154521268,75635839,229293939,8151258,1836081,74111142,2971724,2848062,76508,123564,2,522284,2,1427,40,160,125,389,561412,1.613033,1.627978
1377172515.3,19172544,8342,1043592,227146285,21334,310658490,1748,82195,2706626,228285181,89969923,756561,39688184,20857,3286,93402,314824213,481822673,151923194,75154116,270165,760202,11670,832807,832532,19249,2134,39739110,1584633,18526,2366,3304,1024,80633,13210,93499,93499,152150288,75283171,4855,356,5198,453756,418679,35025,153586327,75463545,228220844,7206970,1475700,74179976,2705682,2582229,76662,123560,2,444427,2,1422,42,160,126,391,459385,1.580652,0.242324
1584567634.8,7585375,125779,9049516.5,68526522.5,20337,140269318,1697,58146,17622604.5,69449563.5,43597344,3020373,29543671,31780.5,4257.5,141644,223192959,462601287.5,49966155,16728075.5,2969975.5,5894861.5,10612.5,2922802.5,2922499,18244.5,1868.5,23277757,5879012.5,27248,2486.5,4118,1356,116049.5,16447,141754,141754,67606118,22250924.5,4918,333,5429,6088917.5,3212362,2876531.5,49178655.5,16283213,66711962.5,35416067,10117833,9833089.5,16932911,16831774.5,64112.5,100643.5,2,3245280,2,1351,40,163,130.5,380,6396792,1.207997,5.386783
3580549.2,1614,145,717,21087,434,43715,38,461,3653,8808,12683,174,3551,998,82,4161,34602,153121,118515,58807,945,473,487,24,29,302,35,3940,521,505,130,105,32,2347,420,2802,2802,7516,4570,9,1,11,84,72,8,9473,4921,13940,11070,112,13,4478,3852,433,479,4,8,0,18,1,8,0,227,85,0.229182,0.474669
1551890060.8,1420,143,713,19023,373,39765,30,513,10745,24005,25502,230,4692,1235,99,5201,52355,33098,9647,6231,374,173,142,21,36,290,23,3763,491,10017,952,1989,128,43249,7956,3354,3354,7739,4714,9,0,9,163,133,20,16400,8562,2853,3485,147,20,1071,877,925,975,6,12,0,30,1,4,0,296,68,0.22066,0.307203
1543554652.4,11081,2185,5293,99219,3216,153042,120,1935,26112,64239,85458,20054,330768,25538,2536,109292,24111428,36241,12299,7134,508,199,194,156,194,1850,168,20972,3065,1655,1009,144,402,9922,576,9686,9686,50504,30422,10,1,15,547,469,75,67212,35201,71461,58427,110,6,20847,18130,2918,3082,90,180,0,96,1,7,0,303,89,1.647317,2.275873
1551834425.3,1150,119,535,15657,254,33909,26,426,8166,15601,18067,187,4136,1211,86,4990,41539,70699,23882,13993,953,421,327,46,65,263,33,4674,525,1107,434,209,190,5839,836,2972,2972,9612,5617,12,2,15,61,36,22,5049,2518,13566,11568,133,20,4159,3553,309,348,4,8,0,16,1,4,0,49,16,0.222198,0.51476
1565786782.8,32830660,6238.5,379413,436099390,20908.5,707926628,1737.5,43999,84655827.5,443903325.5,246942727,141650,68030976,20735,3384.5,93323,719625565,473610396.5,299913321,136288578.5,158289.5,136701,9535.5,132059,131772,18879,1877.5,65472876,306179,18692,2348,3366.5,936,81139,13429,94615.5,94615.5,305397038,138789873,4965,330,5227,90366.5,90354.5,10.5,306326745,138966664,442832377,27758931.5,307971.5,187253219.5,84445512.5,84162522.5,155679.5,282338.5,3,90308,2,1407,41.5,160.5,125.5,430.5,90263.5,0.937842,1.992045
1543388172.8,1180,202,395,6059,220,12602,62,1136,16128,34488,41963,259,5529,1766,392,8392,52628,22541,4069,2601,438,162,198,37,51,364,28,4508,624,524,186,44,52,2654,176,2524,2524,5273,3361,9,0,28,4342,3729,574,497177,275168,1960,2722,119,20,784,627,1030,1085,4,8,0,31,1,4,0,287,61,0.224466,0.464702
1543435392,2909605,6147.5,207324,259189404,21183,360911213.5,1749.5,43668,4267753,259670070,94116666,73942.5,4463885.5,20810,3407.5,93790,350836543,481432764,171490995.5,87687864,114019.5,94192.5,10724,64991,64720.5,19087,2093,4430076.5,169805.5,18458.5,2301.5,3427.5,909,80290.5,13679,93812.5,93812.5,171456981.5,87675455,4949.5,356.5,5311.5,44689.5,44634,53,171872777,87679243,258200391,10412935,310845.5,92293947.5,4253252,4060150.5,110068,191551,2,43974,2,1422,40.5,162,126,389,44364.5,1.637051,2.270316
1542987533,45476262,6170.5,226375,353152278.5,21363.5,593074389,1734,112881.5,81162008.5,353887750,221397433.5,138986.5,89229947.5,20447.5,3334.5,92483,595209199.5,482019074,243217050.5,108127512.5,123547.5,103699.5,10601.5,96657.5,96367,19340,2032.5,89065894.5,233500.5,17951.5,2378,3356.5,842,78312,13392.5,92275.5,92275.5,245247311.5,109031719,5003.5,337,5122,66689,66318.5,575.5,243897052.5,108204836,354160696.5,25367377,305167,155430422,81187373.5,80951731.5,131540,234576,2,66364,2,1400,40,161.5,124.5,385,66239,1.162642,1.92347
1555476868.4,41412797,6343,200804.5,292394890.5,20711,508030147,1729,115591,77825549,292351337,205050206.5,120707.5,81013952.5,20434.5,3310.5,92052.5,509999853,482024040,204306053,87728330,138712.5,119018.5,10341.5,83049.5,82757,18994.5,2078.5,80995237.5,205267.5,17980,2380.5,3276.5,803.5,78602.5,13091.5,92572.5,92572.5,204452664,87814555,8437,372,5125,56946,56905,50,203817342,87242444.5,291621266,23164787.5,306241.5,134220195,77663563,77447260.5,121473,214848.5,2,56376,2,1399.5,40.5,160.5,125,387,57026.5,1.289398,3.05822
1561599279,1888048,6257.5,173744,270867014,21351.5,381500296,1750.5,44664,7055803.5,270803677.5,100306313,77522.5,4151069,21034.5,3391.5,94748,382743114.5,481213826.5,179470232,91499917,96348,76068,11040.5,68245.5,67971,19120.5,1910,3122840,176480,18707.5,2316,3372,861,81298,13463,94980.5,94980.5,179103731,91319449.5,4825.5,354.5,5316,46929.5,46744.5,179.5,178814196.5,90960611,270806956.5,11847120.5,309805.5,99107443.5,7056378.5,6858263,112260,196014.5,2,46252.5,2,1421,41.5,161,126,390,46634.5,1.513129,3.143964
1542958888.8,31574225,6107,333264,332381043,20949,611164378,1750,608335,115366363,333395684,255760853,119133,61708106,20862,3341,94372,619929225,481047992,238380378,95820907,173654,155678,10999,112288,112015,19110,1935,61458726,261790,18641,2359,3395,904,80712,13527,95453,95453,238143896,95712175,4942,338,5428,77307,77020,284,238775359,95397656,334331031,26521312,312411,163087904,115179759,114920452,143140,257119,2,76525,2,1429,40,160,125,390,77319,0.946231,2.289898
1367097893.1,695395.5,5644.5,490920.5,336429258.5,20824,758734671.5,1754.5,163587,246587292.5,330140616.5,332090442,253805.5,2440377.5,21239.5,3469,96677.5,815220328.5,330468232,246964362.5,82584427,252358.5,229336,11107.5,247003,246632,19513,2181.5,1448273.5,539119,18633,2329.5,3326.5,1020,81094,13283,94442,94442,302655598.5,101137064.5,4988,315,5484.5,135832.5,135813.5,15,294235626.5,98175600.5,359750391,7246080.5,306836.5,177072428.5,268437380,268072415,191288,352462,3,123895.5,2,1407,39,161.5,118.5,415,111333,0.792923,1.399501
1550824732.1,287930.5,5864,329256.5,332320528.5,21068,749687625,1737,201524,252444010,337309567,340358389.5,164461.5,1046981,21446,3418,96545.5,786365515.5,353887663.5,261383810.5,87379518.5,182833,161168.5,9357,139811,139425.5,19491.5,1943,3184776.5,324075.5,19284.5,2301.5,3457.5,656.5,83419,13809.5,95430.5,95430.5,309588782,103449264,4822.5,334,8372.5,121294,120718,569,298242995.5,99475176,380206386.5,6159219,307620.5,187696606.5,284292251,283956849,177615.5,325368,3,110792,2,1407,43,160.5,124.5,434.5,101354,0.79529,1.903052
1549491494,15794483.5,5859,386956,334431468,21296.5,754018164.5,1746,216863.5,248479818.5,332001973.5,347677716,184676.5,31799590.5,21069.5,3405.5,94831,754938120,481500775,248776474,83178937,201480,181364.5,9529.5,129716,129361.5,19223.5,2115,31898084,298853,18938,2333,3498,862,82230,13976.5,95629.5,95629.5,253468812.5,84754750.5,5078,343,5607,90473.5,90367.5,136,250554231,83603495,334679530,5539793.5,310244.5,165236062,250029137,249744025,225343.5,417849.5,3,89176,2,1414,42.5,160,125.5,430,91177,0.941702,1.396937
1556822964.2,28327857,6293,240940.5,218647731.5,21185,493565748.5,1757.5,44575.5,163811184.5,219121979.5,244441974.5,112922,55484512.5,21039.5,3408.5,94751,495318630,481607415.5,164316009.5,55065954,105829,84744.5,10154,103802.5,103468,19060,1960,54985970,247339.5,18505.5,2333.5,3406.5,616.5,80345.5,13599.5,94025.5,94025.5,163367265,54734540,4999.5,330,5522.5,53780.5,53770,4,165105129,55150429.5,219214220,4294748.5,311962.5,108040881.5,163872498,163661568.5,118987,209260.5,2,52729,2,1422,41,160.5,124.5,390,53310.5,1.262944,2.90422
1543113897.2,4777596,6093,202479,329458842,21407,476850802,1751,46852,18341519,329544699,131845719.5,120540.5,9817599.5,21784.5,3505.5,98376.5,478007028.5,482779530,219844872.5,109778787,111605,91439.5,9665.5,82897.5,82594,19149.5,1866.5,8216977,205294.5,19619.5,2320.5,3499,727.5,84830.5,13968,98010,98010,219874312,109788052.5,5345,357.5,5399,56855.5,56851,2,219958733,109619213.5,326860080.5,15205821.5,311468,124353900,18204261,17986506,122057,215923,2,56129,2,1422,41,161,125.5,390.5,57964.5,1.292602,1.808292
1548892997.9,80423,6228,10601506,132153285,19868,292833806,1683,1752681,72185537,134946503,147881897,4363965,19586018,18910,3251,85765,377181345,482188739,91330035,38892225,4345461,6234982,11013,4269713,4269488,18081,1935,10683561,8578047,16683,2289,3228,837,73170,12890,86634,86634,94950364,35914778,4988,355,5324,6299265,3555410,1587491,97865584,34535975,154120164,122160887,291081,20679574,71479833,61999524,5134803,9126781,2,1912315,2,1366,41,162,132,4831751,1991744,8.722052,16.436907
1552455369.2,82522,6335,9338618,123943724.5,19848.5,286292721.5,1699.5,3413810,55660109,112999163,196458574,3856099.5,17381002.5,19091,3226.5,86179.5,380345270.5,432214015.5,78961873.5,34869415.5,5653276,5632729,10525,5644801,5644471.5,17984.5,1886,11506862,11329664.5,16731,2294,3249,1078,73236,12974,85999,85999,74157303,35403169.5,4973.5,348,5297.5,5927621,3158276,80.5,139684710,47710314,140393824,106484640.5,289895,19404407,65907187,56742837,7927933,11608257,2,2983541,2,1368,41,162,132,4931868.5,2014038,5.82487,1.265549
1549410275.7,84971,5835,1555309,945309191,20595,1276843887,1756,44358,2811948,866328575,295364848,704718,2922879,19728,3252,89055,610021252,249952850,454282026,225272514,937204,1038351,11791,1407461,1406994,19460,2360,2952627,2753158,17133,2396,3199,800,76494,12784,86674,86674,503757823,250606153,4966,327,5107,820,760,5,508795110,252265659,627485494,15305671,306782,203949330,3046450,2939618,66027,103334,6,48,2,1414,43,162,121,439,537,0.500683,1.239828
1548996257,82461,6327,9103373,113257585,19966,254584846,1710,1733647,53103271,113653187,116918162,3649464,16541331,19006,3202,85897,302496901,410242901,76794971,33424145,3696250,5384902,10598,3634000,3633742,18016,1920,9143535,7308972,16716,2303,3254,939,73215,12987,86168,86168,78585308,33009746,4847,344,5380,6469406,3725734,1675227,100961152,35510963,146842102,111418941,291435,20144106,64597460,54976644,4975456,9011959,2,1938006,2,1347,41,162,131,4611918,2035893,13.061367,28.462405
1546204707.6,103706,7318.5,404341.5,924731993.5,22929,1267317643,1736,44522,4417797.5,891501471,307897380,1253642,5250491,19404.5,3209,88318,1237489730.5,311050311.5,556419157,274196604,1155196,1132839,12526.5,1207024.5,1206602,18528.5,1698,2658553,2456909.5,16852.5,2312.5,3192.5,683,73725,12754.5,88275.5,88275.5,604105936.5,297790875,4859.5,364.5,5268,764.5,758,2,677741453.5,333591010,927321494.5,7787936,387009.5,301177532.5,2218282.5,2091405,78159,124015,3,37.5,2,1610,44,161.5,115.5,1078,459.5,0.648805,1.250755
1546806801.8,83566.5,6232,968244,847919895.5,19888,1141332666.5,1695,42985.5,2538027,843520342,286349748,955718.5,3930685,18978.5,3202.5,85668.5,1165403482,292813533,555701721,276389211.5,869363.5,903141.5,11814.5,472415,472131.5,17971,1913,1186810.5,987888,16609.5,2248.5,3174,701,72544.5,12674,86581.5,86581.5,590886238,293628805.5,4845.5,358.5,5133,752.5,748,2,603103186.5,299762517,890081060,15149326,294869.5,291381271,2733838.5,2630518,62414.5,97562,3,27,2,1365,43,161.5,122,408,412,0.582802,1.253908
1559371467.1,81167.5,6275,10345950.5,128147009,19960.5,276894068.5,1703.5,2534219,65318114,122207297.5,150822252,3895690,17610026,19038,3228.5,86256,350603107,425016603,83885655.5,34945851.5,3825347.5,5542684,10566,3683362,3683092.5,18290,1906,9394049,7409246.5,16833,2312,3244.5,862,73705,12944.5,86421.5,86421.5,84658351,35708393,5018,356,5278.5,6373882.5,3690065,1637088,102605074,34482121,130265759.5,87465897,290544.5,18172017,55435209.5,46691671,5108712,9092308.5,2,1883926,2,1368,41,162.5,131,4671164,1995345,10.0052,19.624721
1558502169.1,84407,6171,1602961,926604338,20585,1252116337,1765,45737,2791912,820080330,279879126,406440,1879611,22888,4065,105802,650525309,233406314,426443733,211893885,468549,691134,9079,776778,776337,18630,1881,1753957,1548423,17136,2352,3199,644,76382,12778,87430,87430,659830996,327123274,5084,333,5247,766,762,3,613310870,303839899,460685513,12657207,308546,149409819,2785799,2678360,65904,103201,4,48,2,1413,41,163,120,442,433,0.582404,0.105823
1536529170.9,85385,6315,415930,490382054,21318,661424506,1760,42538,2469650,775914302,263222527,238311,1199552,22899,4120,104565,807918169,282980742,550041297,273927768,355783,332883,11404,319986,319739,18752,2121,882500,681926,17095,2333,3177,846,74891,12687,89565,89565,622053571,309797727,5152,320,12074,770,766,3,331467879,164836800,596232996,9181354,310346,195984357,2443547,2338074,66733,104503,12,47,2,1433,42,163,118,442,477,0.332874,1.007024
1546760400.6,126340,7351,237168,1077647101,23291,1443519666,1763,44835,1605479,556241286,188398577,170157,956527,20187,3331,91221,1011342395,245629702,706817934,353001857,146859,124281,8241,72036,71659,20823,2291,481721,190402,17887,2983,3277,965,78123,13091,90707,90707,391200289,195353352,11620,396,5365,770,766,3,393898431,196481908,515750142,5653436,380577,170689780,1754868,1630939,66740,104655,4,28,2,1429,42,160,118,442,479,0.522259,0.076529
