"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64","x65","x66","x67","x68","x69","x70","x71","x72","x73","x74","x75","x76","x77","x78","x79","x80","x81","x82","x83","x84","x85","x86","x87","x88","x89","x90","y1","y2"
1436668191.2,20892187,1216,168426,278145523,1060,185786404,76095546,312844233,695,407035,705966,106,44371,868882,263632795,181114724,122610,32266466,65142,1934,287098,643166053,276429,13221,17029,314,10941406,7064,114441,131468085,7766,178744539,1794,54436,1441869,147371346,57529381,83771,24519276,101254,3448,377414,205088743,369887925,116219736,58058540,43178,96946,4559,72451,79761,6519,794,24076387,54301,26765,83348,872,156858,378073,3484,243037,243037,76764964,38151035,4439,195,5958,20714,14047,6356,81896751,40705900,119039707,2233975,54421,39276224,1360461,1338228,25187,46808,194,10935,1,311,19,42,165,3488,18652,0.911404,0.306307
1439559781.2,4142562,402,2714065,42559043,465,29765931,81902405,334126590,749,411684,804212,106,85426,868072,227556003,157252311,272544,4232664,478802,106820,2525507,537727344,2304660,20228,23195,335,9561702,9287,220430,116485473,7243,158806535,479,38214,273002,144436388,55399212,133490,17591563,152764,4043,552478,149002497,163556931,51017835,25526922,67210,108758,11183,150918,160060,4279,410,22040267,105772,53080,102693,4221,186956,532246,16871,893627,893627,100913019,50456452,513,10,302,51377,25354,22030,66817192,33042131,115782048,4278230,427544,36746631,1666451,1533147,49635,87570,196,55367,1,246,20,63,175,3830,90221,0.931032,0.494145
1361967472.8,22664135,1149,355692,287826748,1105,192209503,125303484,507559029,1869,774009,1615734,13310,74208,865019,237489185,162084158,188517,19248708,109137,2212,606486,372936960,469775,4993,40662,319,8543666,10974,204862,103510009,25213,144353736,589,44974,1763516,132055062,51882772,126271,21009827,160664,1553,544513,177961297,278404851,87769568,43675518,71590,149010,2742,176095,196008,4307,458,29439093,116703,135870,153993,1648,293168,993397,6575,957124,957124,113749991,57005849,149,13,146,67450,39979,24685,91799819,45485346,135241033,3326789,136311,44248360,1844107,1646813,40320,71044,176,61173,1,173,23,110,166,4774,100904,0.922429,0.494054
1387667226.6,31663302,1176,794534,390443271,1000,260800008,117296176,482007735,1602,808822,2163713,11265,216760,1380050,367252942,253564374,601377,32329410,255094,12511,1188214,611937343,1125446,32472,65873,317,2216828,34282,2634327,30528130,2823,47592466,534,103889,1732254,149099130,63168012,180230,16060232,317021,4734,1080486,141521516,232529113,72120673,36032861,140822,233472,11794,154490,202616,4285,535,14779654,199331,124616,163429,3337,297247,947997,13339,3634558,3634558,26082024,12864574,54,6,5087,1624809,496921,923677,30283233,12484755,108140475,5241315,462020,34879576,2317203,2152439,84874,132223,262,123318,0,576,21,54,170,3244,263781,0.92924,0.500409
1389520948.8,27448793,1384.5,1105533,331244589.5,1268.5,221236857,114245513,468205019.5,1123,644911.5,2062017,6869.5,175816,1620869.5,348554733,236787083,767432,32277249,313161.5,13711,1415470,603810783.5,1380802.5,36724.5,44864,283,2666865.5,43215.5,3101260,34708183,10275.5,55191167.5,1797.5,143368.5,2170233,162585918,66263991,383503,28091285,484499,3093,1534445,231890050,385412205,119958302,61101885,500006,474274,7707,384770,514318,14513.5,1657,28532801.5,472774,142190,364817.5,2579.5,649667,1599251.5,10313,3449989,3449989,20943468,10371445.5,2502,181.5,2477,241365,128875.5,112459,120232795,59552098.5,180212258.5,4939522,477974.5,58689967,2245796,2126385.5,74991,124677,164,161576.5,1,804.5,22.5,64,148,1072.5,4401408,0.958023,0.163593
1417121178.7,4129748.5,360.5,2990821,35701237.5,308.5,25860490,7727457.5,57541944,379,1994152,7595476,56.5,301615,1804299.5,387684863.5,266100705.5,984751,33460210.5,413161,18398.5,1888407,629843350,1790845,47724.5,35650.5,291,2405256.5,42674.5,2791948,29317398.5,20738.5,48419247,821.5,537400.5,9987371.5,36236086.5,46867746,1057156,9444718.5,1077285,4665,3263954,82764272.5,379010337,20748187.5,8825847.5,1120713,1725398.5,9971.5,820265.5,1287413.5,18865.5,1868.5,6544355,967393,259793.5,845993,2518.5,1012040,3439615,10055,3152539.5,3152539.5,20314166.5,8844058,4633,345,5017.5,1648440.5,716267.5,931552,22959768.5,8756523.5,44306612.5,19041702.5,5050644.5,7464974,6142107.5,6087937.5,34859.5,53729.5,72,974459,1,683.5,18,78,142.5,1103.5,3198267,5.386647,2.913189
1568748485.3,8662097,547,3141184,98012458,463,66285568,4391620,31806686,439,1931040,5703088,45,978480,5670784,104623825,87672995,1692150,11932718,892549,117820,4149191,745776944,3915100,199247,848,274,5998889,11454,3190856,89514827,24175,104377117,1798,545896,4874354,90508270,65250777,1187381,16581392,1241377,4297,3813052,161344292,488868418,63591817,32916803,1164213,1940936,11633,1189223,1749215,21439,2167,18348242,1338717,345750,970229,4260,1300546,3993125,17029,3950195,3950195,63723428,33111283,5065,356,5297,1604071,674176,932618,69960455,33635364,103106721,13829573,2615707,29454459,5485118,5366069,75142,117175,260,746326,2,1422,34,142,177,4264,2766934,1.762216,1.115407
1569080932.3,6888025,733,3113466,76294846,721,51837918,23528205,112802034,507,1768380,6114341,48,1101272,6100999,76695726,70610834,1549802,9838338,853828,106214,3994815,746181166,3780228,211523,2929,343,6253741,12382,3102323,76146351,24434,111368766,1798,558052,6109869,74473792,49797266,1184032,16768620,1280750,4211,3841510,134518421,495981618,46343093,24954179,1484076,1916823,11042,1142413,1709289,22047,2173,12524885,1583386,341483,938045,4452,1226475,3815450,17790,3717596,3717596,45192540,24333874,5099,355,5325,1767721,776664,1006713,54933494,25786236,79034872,14846352,2810897,21245441,6062567,5898351,75223,115987,190,692692,2,1426,35,141,176,3929,3012869,1.503753,1.171234
1405258109,1678216,73,2304275,15662409,43,11197293,7420737.5,63300571.5,470.5,3473948,9158645.5,10,2683887,9059769,30949844.5,62278395.5,1281015.5,4028722.5,625876,97721.5,3188076.5,747212502.5,2989178.5,206184.5,377.5,301,2094209,38240,3069833,28229656,21052.5,46614302,1616,1212963.5,6892015.5,26288050.5,47942506,888439.5,8148661,1237486,5600,3639272,90154148.5,387336709.5,18968830,8814100,1228643,1789486.5,10533,826823,1552698,19169,1960.5,6722176,1133269,435067,801367,5472,1179516,3622034.5,21858,3624873.5,3624873.5,17584077.5,8486040.5,4621,364.5,5030,2210747.5,768258.5,1150148.5,29341758,11261325.5,46233472,26227104,6090409,7360034,6902371,6797830,65961,102735,72,1272415,2,1285,35,143,153,998.5,4277800,16.487598,1.997172
1419060198.3,28116425,1271.5,1248329,337635114.5,1464,225847813,106704385.5,439442679.5,608.5,649143.5,2572602.5,64.5,446194,2602702,348900818,242152076.5,895375,28150070,398204,34975,1906462,550405730.5,1787900,262210,22758,302,15460997.5,9682.5,1133578,186853168.5,16105,253403981.5,1121.5,339112.5,2784076.5,188224083,85920788,518455,31680599.5,683638,3275,2069030.5,266228515.5,406559127,112703000,57466358,390771,627546,11773.5,513746.5,722098,16027.5,1588.5,30215331.5,650332.5,219360.5,507353,3102,849075,2186250.5,12384.5,2798140.5,2798140.5,131926165.5,68052910.5,2542.5,192.5,2616.5,495500.5,222043,220334.5,127883035,63363671.5,182169222,7676827.5,716671,59181989.5,3009059,2856485.5,63905.5,101812.5,90,320902,1.5,807,17.5,72,161.5,4030,845155,0.952484,0.509451
