"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26"
1149601586,34850927,2218,222725,460715393,2206,307348046,103943919,425562138,2175,1577162,3006925,14533,104818,3311888,425445022,289612695,74200,22172231,24656,6782,118568,438288664,98447,123247,54556,320
1582124064.4,39864058,1073,234825,526130274,1053,350711505,172847806,696562122,1915,768307,1381846,13655,94828,1532476,525973669,354486222,75006,40174445,17293,4990,103879,793377656,68795,121214,58611,272
1590108915.8,39967657,1121,236054,527168715,1040,351403445,175845141,708575196,1918,770625,1385941,13656,94942,1528668,519272827,350013597,72701,39730469,17744,5144,109518,783315779,70762,40468,59421,286
4245808.4,24497,828,8588,229138,953,145599,697894,4373352,776,426530,739210,251,43493,875999,2282359,3052035,31909,30201,4152,758,17401,483128,16742,5307,65724,1
1294801290.8,16564972,2004,10377155,176502488,1757,122240613,113188286,464352683,2128,1662052,3416451,14394,111368,3700266,430216867,293482422,286465,36269087,33063,7804,146682,760054274,132504,14180,53577,317
1582815598.8,19193335,1090,11977697,203643864,973,140858998,174613233,705764338,1902,795081,1809992,13578,103780,1946633,525077847,354659183,337675,38079725,22066,5365,89596,794056300,88097,127865,57750,268
1584819619.6,19224793,1142,11957023,203885016,1253,140947729,172261910,696319714,1898,795110,1804134,13582,103913,1958435,526313384,355502048,313697,38096905,21075,5395,95511,794216780,84174,71346,58127,272
15380846.4,81790,4541,69712,5206899,7133,3508256,3094980,22110160,1433,1778473,3306723,4862,43327,843476,2183575,2927639,28323,123313,5656,1385,26037,2985303,23590,2673,65694,1
1304783449,33748404,1870,366668,428442586,1702,285930209,161055903,656343636,2128,1695568,3526005,14417,111095,3352733,345677437,236603222,82537,32465856,26161,7362,140179,618922019,104388,35817,57070,294
1574336113.4,40291114,1551,423864,517154039,915,344847390,172017576,694861803,1904,786513,1727051,13625,106069,1878536,524499328,354168900,94113,41606464,17178,5119,138943,794106103,68347,35719,58014,268
1586137352.2,41636001,1216,430679,526465113,1101,351058386,172042593,694953945,1903,782585,1719964,13623,106158,1882304,525524180,354857730,93471,41710349,18448,5504,207072,795548786,73500,121088,58299,274
6081882,69713,4067,33234,2244194,4587,1563060,679020,4250735,722,409505,713084,49,41875,859798,2249254,2998875,30176,112311,6007,1799,27133,2893960,25283,5757,66141,1
1146426534.4,29243100,1788,541627,370699139,1659,247552713,152343029,622654794,2161,1650454,3682898,14490,139448,3605983,319424739,219797967,126966,35567135,26753,7255,119151,674672167,106858,13108,49247,319
1577508411.2,41147024,1039,737228,521527686,1440,347941842,171216723,693654674,1904,831258,2110723,13626,148230,2251918,521720375,353389315,167511,41641285,17876,4958,103581,781643937,70988,34652,58135,274
1585799199.6,41323230,1043,743780,522799561,981,348790848,174261722,705898189,1902,828622,2119328,13628,142529,2238753,523052317,354204317,164986,41670033,17542,4993,103916,783304993,69741,325,58172,273
5889826.2,69044,4023,32556,2244406,4800,1561179,672999,4231289,685,411119,713497,135,48619,899610,2347076,3172476,36616,122984,5309,1297,24150,2404119,21728,2813,65563,2
1210628019,36940795,2018,755753,471613764,1933,314720358,105517559,433428289,2177,1597364,3234238,14578,117235,3691883,468365132,319078553,192571,20551171,25235,7118,157890,401983471,100860,31766,56505,338
1574143582.6,40954159,1090,827715,523941134,997,349527149,172155367,696235302,1905,774998,1710927,13577,104274,1843869,515927227,348523620,206999,40107050,18035,5259,115112,781827135,71897,38936,58166,279
1570632057,40261513,1187,813645,516162515,1483,344335838,169538608,685706075,1893,770209,1697446,13578,105235,1853890,523689195,353726749,202641,40174932,17778,5189,107647,783346747,70766,3651,58194,283
11178141.4,72190,4068,33884,2269946,4847,1579451,678226,4260154,660,410099,714409,106,39527,833195,2159614,2859756,26295,427137,60296,20591,296177,16217206,250167,1896,65552,1
1218333359.2,37808908,2046,1009739,480722471,1781,321268729,101727604,421165338,2149,1642524,3913283,14457,169271,4586847,463565304,317792738,185974,22850465,35014,8428,155852,436077247,139999,14347,55424,315
1569689372.4,40514437,1138,1068648,513533082,886,342905319,171701646,699102388,1899,803841,2770740,13523,166421,2917848,511006707,347510325,186926,41102483,17433,5095,103980,782021889,69402,31623,57302,269
1571663894.4,41229365,1116,1090669,521570499,1008,348274429,172091000,700675916,1898,803479,2773108,13524,159665,2889730,503404517,342322382,183930,41830639,17373,5240,79763,795280584,69177,34854,57020,267
7663464.2,68462,3867,32044,2239733,4496,1558663,1278362,10084357,558,936835,2091461,47,42526,854219,2215472,2963090,30815,114777,4340,1009,19851,2484970,18123,1190,65285,0
1254931981.2,36586841,2298,1523152,465419575,2166,311089000,110251502,455438367,2131,1677444,3752272,14370,192694,4069144,478152925,327333980,504473,26219156,24515,7106,110008,491738269,97885,18882,55831,302
1583376315,40748523,1219,1686323,517463543,908,345627245,173358152,705447973,1907,853723,2409254,13575,185303,2541919,518528525,352466303,552574,42505536,17327,5073,102751,794006641,68875,129621,57370,268
1581128825.6,40804326,990,1669346,518485065,936,346309800,171063960,696197171,1892,859824,2405672,13577,184121,2537822,518549822,352454455,546562,42532137,17501,5120,191363,795411864,69622,5260,57409,267
7820350,65471,3549,29999,1664265,4348,1150382,671353,4224841,683,410289,713030,106,49124,896786,2327214,3158486,35096,247175,39097,8063,187007,8306329,161336,3644,65788,2
1263630409.2,15798886,2156,6555604,177828064,1864,121332736,78899327,383342730,2245,6797806,17292383,14630,6952890,21548000,332766164,337233173,4692451,37522533,30534,7759,168737,671639862,122013,36737,48915,324
1572002704.4,27721009,1429,11558780,310215993,1254,211370521,97075905,465117908,1890,7250067,19111636,13517,7435151,21542855,364581889,364697857,5140510,43758120,18850,5335,112046,781324374,75168,35356,50079,284
1580123403.6,27765179,1185,11591534,310773406,928,211754726,97275603,466159126,1886,7277678,19162699,13525,7740255,22019937,369942824,372783475,5203410,43830742,17996,5194,73838,782616805,71840,122002,50119,272
1575247039.2,27769335,1240,11589183,310801195,1031,211773304,97412600,465800228,1880,7128150,19023904,13526,7601488,21680468,364307078,366834085,5127687,43886117,17558,5174,197332,782838931,69892,10301,50097,273
1565646270,27780581,1092,11587891,310898513,939,211835586,97284354,466059217,1887,7256981,19143421,13512,7611780,21693457,364345767,367012548,5129849,43181515,17841,5048,107764,770752306,71125,36514,49877,266
5735559,66899,4118,32977,2237782,4811,1556969,671180,4228059,760,412410,714997,102,46349,875815,2264253,3061610,34196,130142,6575,2196,29438,2828776,27179,2380,65823,4
1276255078.2,16337419,2211,8237518,179869254,1891,123892422,79285568,414633420,2187,10332072,24507810,14619,6063680,18439494,188842284,224383992,1933903,30635673,27688,7461,126955,709214153,110753,134685,46117,313
1571487835.4,26981473,1029,13655950,295429701,967,203238215,91897900,472091277,1943,10548170,25876266,13770,7962855,21787148,247400332,291289838,2527198,33885691,17690,5300,104515,780793538,70547,5121,46249,266
1588604853.6,27107464,1020,13673526,296762716,1034,204082188,91728289,473208983,1929,10849308,26167069,13753,8096144,22131047,251585442,296133764,2565557,34471528,17571,5263,70246,794175932,70101,193,46383,270
1588449475.8,27026990,1153,13687558,295955702,1247,203614633,91759999,473292867,1920,10835907,26152930,13717,8106385,22146060,251559593,296283616,2565848,34486393,17491,5266,198625,794050682,69697,10024,46402,274
1569126498.8,26697910,1133,13470403,292275240,973,200994947,91782153,473261491,1914,10819489,26142840,13717,7952816,21799706,247809814,291416097,2526464,33941114,17922,5190,105606,781958421,71445,36058,46243,268
1569259311.6,26605665,1465,13469388,291382224,1293,200455570,92095384,473094311,1924,10572814,25935251,13710,7981649,21819754,247857213,291841590,2531384,33936550,17942,5375,105667,782134265,71470,6702,46292,271
1569199493.6,26631045,1095,13479653,291576966,1047,200596705,91763674,473293970,1924,10838335,26160355,13708,7727203,21624041,248214214,288518072,2546118,33977587,17600,5311,198422,781980631,70127,34358,46254,265
5688648.2,68160,4013,32683,2226649,4645,1551836,661101,4146785,561,395517,691272,47,45077,876943,2287430,3075049,34755,127714,5985,1878,28921,2936636,24876,2399,52722,2
1236711386.2,37235381,1482,2405505,448267577,1353,300324401,101993299,427436946,2244,1739987,4762376,14653,474691,6089275,454255086,317572265,546064,27078833,24845,6947,150743,481375945,99147,21413,56341,312
1573804831.8,42011551,1286,2703261,505024259,1125,338033744,163863152,676612980,1973,1102869,4354205,13807,495889,4514623,498558221,345659880,582277,44071550,17245,5318,198670,781605446,68880,34264,57922,273
1580508328.4,42000718,1095,2707333,505313091,1005,338225410,164100185,677584321,1973,1102592,4357338,13806,495159,4556595,506419888,350944579,600262,44218404,17264,5196,73987,783470665,68777,121898,57949,271
5464521.6,63559,3965,30985,1806858,4401,1254551,683172,4300582,755,416824,724369,106,45513,876428,2285166,3073618,34157,116565,4752,1110,21704,2120210,19583,4340,65747,3
1264116592.6,38897246,1761,1564813,482362435,1434,322535844,108662779,450496948,2175,1696244,4190153,14509,210088,4848846,463333826,318518037,897539,27235686,25762,6927,233503,492054524,102861,10073,55652,310
1574004409.2,40944653,1128,1638535,507466028,1049,339049635,170365425,695632838,1900,870690,3079445,13606,209405,3280293,520435436,354852769,990281,43380240,17802,5140,76849,781849247,70947,33574,57576,295
1585565235.2,41575906,1441,1664129,515150887,1233,344184675,170688142,696943775,1899,873031,3087124,13606,214931,3282303,520348969,354849109,1001234,44123454,17475,5192,69924,795435143,69623,32932,57219,284
5896729.2,68855,3957,33046,2232103,4704,1553730,676848,4257584,706,411441,715480,106,44321,872607,2259687,3040133,32512,128859,7279,1981,34769,2843536,30015,4030,65377,0
1106789270.2,13826781,2176,8386769,149169567,2257,103256946,48305713,269134673,2211,8288287,19509694,14589,7280641,22279612,189670518,244757754,3763172,26091550,33166,8119,178473,651567569,132498,113139,42237,322
1570787549,19726433,1282,11988980,211251264,1162,145932262,77400162,421348788,1905,11624880,28056664,13619,9779923,28016994,263200795,331699873,5279456,31808430,18362,5396,108191,792808180,73234,66085,44181,267
1573967698,19481548,1411,11843815,208643635,1397,144125651,79049103,428238737,1909,11543904,28308881,13627,10122534,28308920,262965445,336472432,5241743,31868088,18073,5283,195598,794018402,72036,36829,44200,267
1578376645.6,19483936,1196,11847213,208664644,909,144150506,78611630,428194594,1909,11848875,28535984,13628,9817254,28089390,263759241,332661115,5286769,31371069,18131,5261,106427,781766687,72231,124267,44429,280
1569081047.4,19470042,1206,11841464,208558037,1085,144077752,77870221,421783341,1902,11354378,27868459,13627,10098198,28304750,262992432,336148330,5239903,31376187,17701,5063,107230,782264961,70472,293,44306,274
1568936722.4,19482648,1149,11843871,208648244,990,144130192,77556402,422147851,1905,11640739,28105332,13630,9962607,28497317,267781702,337671044,5370541,31375712,17511,5227,74891,781396323,69760,127324,44210,274
1573820750.4,20057217,1327,12201060,214803057,1120,148392606,77424775,421752896,1899,11679786,28125325,13625,10138007,28333241,262922873,336656291,5237417,31409728,17843,5476,198541,782121684,71107,37122,44195,270
1574183490.2,19525058,1228,11829458,209031335,1008,144321213,78693940,428373615,1904,11822218,28528264,13617,9956402,28497358,267819857,337595265,5366951,31382004,17648,5215,107376,781976527,70384,6688,44194,266
1578132412,19491808,2225,11832607,208773927,2332,144198594,79019298,427973044,1917,11521635,28278941,13615,10097009,28304263,263105938,336209146,5259107,31385470,17902,5175,77488,781898467,71220,36616,44453,276
5949698.2,70178,3909,32614,2247043,4771,1563484,671429,4211196,616,408677,710354,296,38901,845463,2202685,2915455,26686,121765,6225,1352,30439,2963370,25541,1558,65494,2
1293424333.8,39170502,2116,3262975,466150144,2182,312505048,108062551,454440143,2189,1851079,5354565,14634,499333,6391337,448825931,314523113,904274,33396980,23223,6782,128970,572136519,92699,70871,55286,307
1583926433.8,42937264,1108,3555116,510132602,930,341744863,163753738,678439065,1927,1093779,4775391,13711,535017,4922721,499050011,346841069,1004390,45759862,17164,5132,186922,781767601,68294,121253,57369,271
1590359281.6,42932476,1094,3553453,510149370,1288,341756427,164040532,679621592,1920,1094851,4782116,13711,531241,4920680,499328096,346983360,1000527,46543444,17979,5378,72664,795103428,71679,10786,57387,277
5694032.8,80191,4420,36748,2316090,5238,1604125,644369,4051885,556,390378,679695,47,37504,641461,1659898,2291198,31152,132289,5960,1536,27947,2991952,24141,1741,65133,1
1175490591.6,32538590,1955,2702240,387759660,1619,260025333,89888237,379983895,2171,1849766,5014411,14546,639872,6678555,450981142,318269803,1986178,26817244,29421,7641,256581,462397671,117674,126724,55871,318
1587660202.4,41837711,1145,3460785,497281899,1497,333173781,167575015,695485784,1899,1286524,5145822,13619,693415,5289048,510035157,356857353,2242806,45478907,18650,5236,114731,781403760,74516,72469,57545,274
1585299298,41295948,1104,3418482,490801600,967,328829117,167848950,696658604,1901,1293150,5156906,13622,703092,5302948,510836762,357530753,2231927,46281587,18515,5184,84470,794970475,73749,122952,57224,274
869935.2,11731,224,3487,80846,227,51986,99449,618193,150,58975,103663,20,9009,128935,330831,478173,4799,24227,2005,335,8645,502204,8279,177,7768,2
1168960349.8,10751012,1893,10010638,89508092,1257,65364964,23033525,191792968,2105,7064559,26742624,13847,3418743,20960888,68636343,112291359,1576734,13374943,136958,10347,618065,458949289,547597,76865,38242,321
1596826242.8,11745371,1474,10882513,96576091,1189,70329420,34099838,275372238,1856,8831760,36580329,13089,5560201,30742422,110422319,177574545,2565007,22976659,152368,8109,801981,802658524,609245,199779,38112,275
1589466809.8,11929552,1618,11059699,98075303,1086,71422044,34177444,275991904,1852,8850619,36662063,13089,5493076,30393188,109135180,175490787,2540497,22697432,150734,7943,688000,792380914,602898,66970,38067,272
1589479735.6,11746151,1530,10884306,96592488,1121,70338320,34672568,279981247,1860,8968690,37180567,13084,5493461,30405425,109161583,175522000,2535021,22690920,150478,8248,689816,792450131,601769,92731,38062,270
1579598941,11749531,1390,10882000,96591016,1043,70340327,33646959,271738994,1846,8720369,36101661,13091,5494413,30406501,109168442,175534803,2532879,22682763,155131,8516,685183,791897252,620223,104373,38052,270
1584329815.8,11749774,1345,10881795,96597117,1020,70344595,34137604,275671468,1857,8841173,36620509,13092,5491916,30394608,109105751,175472051,2528860,22687258,150773,8425,802236,792416424,603056,198884,38068,275
1580098000.4,11751034,1142,10882351,96601317,978,70346360,34183122,276039368,1855,8852136,36668236,13086,5412081,29964724,107536395,172948461,2495242,22689125,154348,8450,719360,792147816,617448,69237,38064,272
