"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","y1","y2"
1436668191.2,17879153.5,1116,11167089,190073176,1113,131549805.5,142725098,580336198.5,1900,795095.5,1807063,13580,103846.5,1952534,477647357,324070802.5,300081,37174406,21570.5,5380,92553.5,777055287,86135.5,42763,57938.5,270,0.336082,1.097208
1439559781.2,37019759,1710.5,395266,472798312.5,1401.5,315388799.5,166536739.5,675602719.5,1903.5,1241040.5,2516887,13624,106113.5,1880420,435088382.5,295386061,88004,37036160,17813,5311.5,139561,706514061,70923.5,35768,58156.5,271,0.530749,1.074077
1361967472.8,35195062,1415.5,639427.5,446113412.5,1549.5,297747277.5,161779876,658154734,1903,829940,2115025.5,13627,140988.5,2245335.5,420572557,286593641,145976,38604210,17709,4975.5,103748.5,728158052,70364.5,9432.5,58153.5,273.5,0.535601,1.084094
1387667226.6,38601154,1602.5,784699,493888139.5,1708,329528098,137528083.5,559567182,1899,772603.5,1704186.5,13577.5,104754.5,1848879.5,492146179.5,333801086.5,197606,30329110.5,17906.5,5224,111379.5,591905303,71331.5,17708.5,58180,281,0.538514,1.076148
1389520948.8,39161672.5,1592,1039193.5,497127776.5,1394.5,332087024,136714625,560133863,1898.5,803660,2771924,13523.5,163043,2903789,483484910.5,330057560,184952,31976474,26223.5,6834,129916,609049568,104700.5,22985,57161,268,0.170761,1.043816
1417121178.7,38667682,1758.5,1596249,491441559,1551,328358122.5,140657731,575817769,1899.5,898329.5,2407463,13576,184712,2539870.5,498340725,339894217.5,525517.5,34362346,17414,5096.5,106379.5,642872455,69248.5,12071,57389.5,267.5,0.540817,0.185644
1568748485.3,27743094,1334.5,11573335.5,310494699.5,1142.5,211562623.5,97175754,465459068,1886.5,7189108.5,19067770,13521,7518319.5,21614234,364326422.5,365765971,5128768,43469817.5,18423,5264.5,140391.5,776038340,73504,35935,50088,272.5,0.632957,0.567467
1569080932.3,26664477.5,1143,13475028,291926103,1147,200795826,91761836.5,473151647,1924,10696151.5,26039045.5,13717,7957835.5,21793427,247833513.5,291352967.5,2529291,33938832,17645,5283,105636.5,781969526,70337,8363,46273,269,0.778874,0.665003
1405258109,39618049.5,1384,2554383,476645918,1239,319179072.5,132928225.5,552024963,1973,1102730.5,4355771.5,13806.5,484925,4535609,476406653.5,331616072.5,564170.5,35575191.5,17254.5,5257,112365,631490695.5,68828.5,27838.5,57131.5,272,0.121132,0.060652
1419060198.3,39920949.5,1601,1601674,494914231.5,1333.5,330792739.5,139514102,573064893,1899.5,871860.5,3083284.5,13606,209746.5,3281298,491841397.5,336683573,943910,35307963,17638.5,5166,73386.5,636951885.5,70285,21502.5,57397.5,289.5,0.534866,1.049887
1564327178.4,19483292,1304.5,11842639.5,208656444,1141,144140349,77713311.5,421965596,1905,11584392,28115328.5,13626,9959504.5,28304506.5,263049185,336178738,5250425,31379095.5,17872.5,5244,107303,781937497,71163.5,36975.5,44205,272,0.808415,0.602199
1438672698.8,41051489,1612,3408214,488141373,1735,327124955.5,135908144.5,566439604,1923.5,1094315,4778753.5,13711,515287,4921700.5,473937971,330682091,952400.5,39578421,17571.5,5255,100817,676952060,69986.5,40828.5,57378,274,0.61995,1.009265
1377172515.3,36917269,1550,3060361,439280630,1558,294427225,128731626,537734839.5,1900,1289837,5080116.5,13620.5,666643.5,5295998,480508149.5,337563578,2109052.5,36148075.5,18582.5,5210,99600.5,621900715.5,74132.5,97710.5,57384.5,274,0.63265,0.153306
1584567634.8,11749774,1390,10884306,96600443,1086,70344595,34162248,275858423,1844,8842559,36643455,12989,5493076,30393605,109134253,175490787,2532879,22695617,152216,8411,703249,792332000,608697,101200,38067,272,0.827817,4.459269
3580549.2,12483,307,3875,110838,406,71174,668551,4188559,700,405363,705348,47,40731,704454,1821596,2503302,32471,23363,2261,401,10379,353048,9195,1276,65273,6,4.363339,2.071141
1551890060.8,15287566,1351,218950,480328586,1268,317845825,164227561,671096156,1937,3458727,5136102,13770,95758,5407266,487782183,343359454,46710,15573877,16816,5082,115772,771931636,66899,11105,119130,268,4.531869,1.392205
1543554652.4,15584444,1142,219225,481717264,969,318937888,162333633,665402794,1917,4068104,6045512,13769,95174,6304774,481633915,340278601,48515,15911278,17023,5049,100799,771740272,67745,18661,118489,266,0.607048,1.381563
1551834425.3,48625985,1208,230674.5,505207834.5,1127,342747313.5,161020328.5,753607170.5,1903.5,36720514.5,54047017.5,13670,96509,53864028,497595293,452786657,47983,48601818.5,16830.5,5083.5,127819,777449412.5,66989,25661,123595.5,267.5,4.500495,2.316674
1565786782.8,59316550,1158.5,226630,472556434,1235,324779920,146505514.5,761812648,1905.5,59387728.5,89173414,13673,96608.5,88719400,465807425.5,511572844,45372.5,59233082.5,16386,5086,119796.5,782780687,65208,58247.5,131782.5,271,1.066278,2.124074
1543388172.8,18851665,1108,199526,472327227,1127,312192108,159726991,660135189,1902,6011877,8471598,13662,94913,8738302,472455896,341634863,45605,19472984,16729,4987,177037,771582083,66515,5824,118501,266,4.455017,2.070253
1543435392,12635720,1133,195115,471250806,1030,311139678,159709494,655713763,1901,4327738,6357293,13655,95276,6703807,471663803,337150958,47751,13337748,17035,5203,74764,771854554,67894,31826,117255,271,0.610854,1.386833
1542987533,64266615,1371,191884,420516863,1335,290994840,129139876,704928690,1887,65196379,95863270,13530,119845,96079298,420341449,499893791,45932,64541262,16303,5002,98958,771791857,64776,12872,114703,269,0.86011,1.654397
1555476868.4,62036049,1056,195606,416100094,1254,291107722,124657877,720238318,1889,83578558,107433535,13577,146853,106224158,410519419,544187754,47099,62267889,16530,5013,110285,781951623,65695,6422,115972,272,0.775556,2.37182
1561599279,17128798,1191,218396,474585248,1004,314165637,159961534,665979546,1909,7620189,10968452,13719,96857,11534733,488324685,356435036,48037,17678642,17746,5154,110044,783232223,70685,31938,119879,269,0.660882,2.07779
1542958888.8,56695804,1038,223296,365254987,1187,260670993,104190527,680693501,1893,104343455,129387260,13626,240395,129734024,365480558,584270912,48244,56942666,16289,4874,98192,771168575,64841,30876,120933,265,1.056825,2.420021
1367097893.1,28675715.5,1370,293361,333186268,1335.5,249593378.5,95683419,865237424.5,1895.5,190636494.5,286215782.5,13617,251254.5,240728208,321882342.5,698619162.5,48454.5,32727127.5,17232,5066.5,86150.5,745080138.5,68584,34853.5,157623,268,1.261156,1.764989
1550824732.1,45383998.5,1098,270704.5,350712476,1028,262619484.5,87680784.5,790721562,1898,174397647,261676674.5,13627,232857.5,261999863,350910305.5,745111417,46844.5,45817341.5,16487.5,4987.5,155861,776949149.5,65597.5,23326.5,141665,267.5,1.257402,2.392902
1549491494,51019579,1179.5,208893,325394327.5,1197,243680857,80833234,729060514,1906,160815077,241322443.5,13675.5,225248,241425769.5,323186071.5,680560569,46013,51208231,16163,5001,83472.5,776778042,64274.5,74668.5,124389.5,269,1.061907,1.483418
1556822964.2,53361194,1147,202612,310444536,1037,232480156,78826496,710978185,1905,156865606,235408822,13682,261526,234864593,314299457,668925518,46332,54400114,16592,5083,75432,783507047,66023,32328,111908,266,0.791801,2.299563
1543113897.2,26015017,1287,216419,476824597,1060,317770589,158786609,687469032,1893,17736279,23044272,13612,95175,23304365,477106581,376772204,46333,26337544,17135,5115,100918,771620686,68168,36604,118312,273,0.773633,1.398955
1548892997.9,918047,1133,173245,575925618.5,1192.5,383922191.5,194946177.5,784850169.5,1906,753042,1258816.5,13687,94528,1358188.5,577042801.5,388603933,46907,1143333,17255,5146.5,75458,771828262,68680.5,49761,37070.5,267.5,0.114652,1.884523
1552455369.2,531335.5,1160.5,118368.5,581173313,1236.5,387477470,191829098.5,772974984,1901.5,807233.5,1313150.5,13663.5,93627.5,1414533,577344524,389140663.5,45625,804657,16752,4985,89301.5,779804751.5,66661,18976,37055,266,0.171678,0.217267
1549410275.7,856957.5,978.5,140927.5,559987367,1053.5,374292270.5,180647549.5,762148378.5,1866,716907,1197205.5,13090.5,88239,1288991,573403765.5,393027759,48810,1166461,17133,4986,76815,772581436,68168,88738.5,34756.5,270,1.997272,2.476273
1548996257,755125.5,1023,206645.5,580931125,1069,387286943.5,192069334.5,773608054,1902,778338.5,1284119,13679.5,95358.5,1388374,576692776.5,388537099,45557.5,962626,17881.5,5143,77655,778936953,71202,20197,37068,264.5,0.076562,2.179129
1546204707.6,120116.5,1246.5,287175.5,577500427,978.5,385116148,191443920,772390148.5,1908.5,894199.5,1399977,13676.5,94642,1502343.5,577088647,389502750.5,46617.5,345483,17465.5,5092,77930.5,774781879,69483,23222,37056,266,1.541296,1.927784
1546806801.8,127839,1056,232839,575804654.5,1119,383930244,193360916,779478472.5,1903,842994,1348885,13655,94271.5,1447519.5,577421983.5,389391417,45627,416003,16788,5028.5,95133.5,772310345,66776.5,24310,37122,274,1.71585,2.151517
1559371467.1,116602.5,1043.5,501814.5,584268029,1218.5,389847429.5,192761894,780013375,1888.5,1107567,1608702,13591,92415.5,1708397,579700996.5,392489479,45288,770601,17171,5187,103600,772007523.5,68478,31394,36632,268.5,0.099948,1.961452
1558502169.1,903208.5,1032,139720,576578917.5,1264,384352552,193909469.5,780583121,1935.5,742540,1244706.5,13557.5,92358.5,1339768,585695830,394307101,45398.5,1140611.5,17353,4964.5,159375.5,783897390.5,69041,50895,36640.5,265.5,1.717021,0.1817
1536529170.9,115671,841.5,378917,455672121,939.5,305986974,146079169.5,715038438.5,1838,1329854,2255597.5,13039,93895,2426081.5,484654730,389344011,44949,543581.5,16176,4891.5,97259.5,772799332.5,64286,31647.5,34544,265,3.004135,3.025237
1546760400.6,126319,1035,234754.5,575532617.5,1103.5,383751757.5,191862109,773471727.5,1894,838700.5,1342182,13614.5,92694,1444877,580631830.5,391527035.5,45413.5,465538.5,16517,4827.5,110330.5,773827776.5,65762,33360,36839.5,264,1.91476,0.146535
1553974009.8,102639,937,1381692,571453517,985,382205365,191706314,785969087,1901,2031577,2535123,13612,92581,1418541,563062645,388511160,45468,1886400,15997,4917,94842,784297935,63620,31903,37118,269,0.705476,2.207318
1551025232.7,121492.5,1013,385220,580080111.5,1209,386865759.5,194459573.5,784788363.5,1907,923126,1426702,13609,93550.5,1524469,576309482,389125383.5,45037.5,554690,16418.5,4926,86855,772231979.5,65274.5,33553,36628.5,266,1.960347,1.992735
1545407999.6,99746,930,16065707,211836249,991,168831168,38052307,655567964,1863,92228073,167637234,13188,12543433,176789261,214392100,586135815,45089,16214625,15890,4855,95162,772714077,63223,32912,4832972,265,0.899938,22.999206
